LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
26.08408,-76.33002,119.0,244.0,,8,[SAT-AIS],7,TlRJMk56a3pOVEkyTnprek5USTJOdz09LUUrUjUxUm9VcThJLzlmcG0yOWxTdUE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.19887,-73.82388,128.0,260.0,,10,[SAT-AIS],7,TkRNeU9EUXlORE15T0RReU5ETXlPQT09LVJiT0MyWlh6bDZ0V0FSQmVYdEhTQVE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
28.46897,-71.18737,113.0,63.0,,5,[SAT-AIS],7,T0RFMU1UZ3lPREUxTVRneU9ERTFNUT09LWJuRW1wdW1PdC9zUHVCUHp5Z09oTWc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
25.76121,-77.32247,160.0,10.0,104.0,1058,ASTOMOS EARTH,8,465521,,,,BE ANR,PA,230.0,,36.0,193.0,25.0,55250.0,19.0
26.69138,-72.3499,154.0,77.0,,10,[SAT-AIS],8,T0RnM05USXpPRGczTlRJek9EZzNOUT09LXRINVlldjhpTDg4NUNzc3pTOUVySlE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.73275,-79.37814,151.0,0.0,5.0,687,GAS AQUARIUS,8,5137160,,,,EG AIS,HK,226.0,,37.0,188.0,22.0,54656.0,19.0
28.96808,-77.99036,149.0,56.0,,8,[SAT-AIS],8,TnpVMk1qa3hOelUyTWpreE56VTJNZz09LUQwV0JUS1lpM3cxelYzV2N5TUp6WUE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
31.53587,-79.87798,76.0,120.0,124.0,472,PRO GRACE,7,386685,,,,SGSIN,PA,203.0,0.0,37.0,178.0,22.0,53896.0,10.0
30.9425,-78.70197,98.0,121.0,,9,[SAT-AIS],7,TXpVek56RXpNelV6TnpFek16VXpOdz09LVFZV2wyRENOdTNLRWYreXdsbG9tQkE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.08351,-78.59893,53.0,15.0,129.0,45,EVANTHIA,7,715906,,,,GIBRALTAR,PA,190.0,,32.0,162.0,11.0,53284.0,6.0
26.04333,-78.46833,110.0,107.0,,3,[SAT-AIS],7,TmpZeE56UTFOall4TnpRMU5qWXhOdz09LVVpbjhWQURlT1VWOEo4RVB6bHdjMkE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
24.66167,-74.735,160.0,359.0,,14,[SAT-AIS],7,TnpNeU9ETTROek15T0RNNE56TXlPQT09LVBtdGJMWUtSY2hGNXpyUHQvY3ZOUmc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
30.05333,-74.405,170.0,357.0,,4,[SAT-AIS],7,TlRVNE9UQTBOVFU0T1RBME5UVTRPUT09LVJkTU14bU1FRE8xa0trVFZVeUZwQnc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.27033,-74.364,130.0,259.0,,5,[SAT-AIS],8,TkRZek5qRXpORFl6TmpFek5EWXpOZz09LUZzd28vOEpOQmRmV1lNYjM2aG8rb1E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.40794,-79.42643,135.0,354.0,351.0,1124,ALIAI,8,6491066,,,,US MSY > GB MLF,LR,182.0,0.0,32.0,148.0,23.0,50315.0,88.0
28.19833,-76.195,120.0,77.0,,5,[SAT-AIS],8,TXpjME5USXhNemMwTlRJeE16YzBOUT09LVFZbHdxeEVtcVQweEUzMDcyVExGdHc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
30.69941,-74.16212,127.0,216.0,,7,[SAT-AIS],8,T0RBM01UTTVPREEzTVRNNU9EQTNNUT09LVlIOE1qbCtlUXNpY1JacW5YQnNJZlE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
28.84667,-72.35667,140.0,255.0,,42,[SAT-AIS],7,TmpreU5ERTVOamt5TkRFNU5qa3lOQT09LWJ4c3pUaUdySTRyTTBENWlKaG9tZHc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.54286,-79.37295,134.0,4.0,8.0,497,ARCHON,8,992645,,,,CAMTR,LR,183.0,0.0,32.0,147.0,9.0,50100.0,88.0
27.68687,-78.62732,126.0,71.0,,74,[SAT-AIS],8,TkRZNE1qRTRORFk0TWpFNE5EWTRNZz09LXBzdUxiK3k4MmpDMFU4OUpHVVVuT0E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
22.63,-78.29667,110.0,107.0,,4,[SAT-AIS],8,TkRRek1qVXhORFF6TWpVeE5EUXpNZz09LVU0ZHVJYmRUaXBQZGFsY3NyeWowSHc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.68005,-79.09861,148.0,307.0,308.0,109,BULK KING,7,752974,,,,COEYMANS,LR,194.0,0.0,32.0,169.0,15.0,49999.0,6.0
27.03219,-79.30378,149.0,340.0,,9,[SAT-AIS],7,T0RJNE9URXlPREk0T1RFeU9ESTRPUT09LVoxOUVVbE1tMjZMN0xFUk5aMUVSaWc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
